index;x;y;z
394;-0.683960;0.221939;-0.133575
395;-0.829437;0.330231;-0.212509
396;-0.945801;0.359802;-0.355850
397;-1.146103;0.419342;-0.450348
398;-1.311798;0.462952;-0.471664
399;-1.353455;0.513885;-0.425156
400;-1.452682;0.719910;-0.323273
401;-1.333359;0.582809;-0.289581
402;-1.251190;0.524185;-0.352081
403;-1.268280;0.654785;-0.376633
404;-1.094818;0.611557;-0.407669
405;-0.851578;0.509308;-0.412399
406;-0.720261;0.473648;-0.370361
407;-0.708984;0.576492;-0.290863
408;-0.567139;0.463013;-0.223450
409;-0.488098;0.282654;-0.193787
410;-0.551895;0.295929;-0.161575
411;-0.565567;0.327850;-0.115005
412;-0.547195;0.398102;-0.097870
413;-0.645569;0.512146;-0.121567
414;-0.916748;0.603943;-0.170059
415;-1.109451;0.628937;-0.180328
416;-1.296997;0.752686;-0.235291
417;-1.317032;0.569855;-0.344467
418;-1.298599;0.319016;-0.483597
419;-1.288788;0.325516;-0.434937
420;-1.011108;0.298477;-0.312836
421;-0.639587;0.012253;-0.195984
422;-0.554321;-0.125839;-0.162918
423;-0.667328;-0.190933;-0.277725
424;-0.658508;-0.189072;-0.352264
425;-0.642136;-0.150360;-0.430984
426;-0.638123;-0.097488;-0.452377
427;-0.831757;-0.035934;-0.514557
428;-1.005280;0.038620;-0.502731
429;-1.218750;0.112595;-0.485092
430;-1.370071;0.199692;-0.472107
431;-1.372131;0.304016;-0.397873
432;-1.224792;0.295502;-0.353409
433;-0.983749;0.193314;-0.347855
434;-0.963135;0.261597;-0.364594
435;-1.050568;0.344086;-0.370865
436;-0.993576;0.215408;-0.339142
437;-0.941071;0.149002;-0.327576
438;-1.013977;0.371521;-0.264648
439;-0.948196;0.402573;-0.182785
440;-0.818665;0.320526;-0.172562
441;-0.800995;0.330963;-0.154160
442;-0.800797;0.404037;-0.139191
443;-0.803345;0.578781;-0.147995
444;-0.778442;0.657471;-0.166275
445;-0.858276;0.636292;-0.172241
446;-1.094559;0.484177;-0.101028
447;-1.304657;0.343445;-0.102631
448;-1.179214;0.094528;-0.278473
449;-1.224136;-0.194183;-0.490540
450;-1.289703;0.012604;-0.458160
451;-0.987778;-0.089661;-0.347061
452;-0.697311;-0.277069;-0.322021
453;-0.681564;-0.295364;-0.348785
454;-0.616058;-0.284286;-0.393890
455;-0.559189;-0.215637;-0.472855
456;-0.599289;-0.226562;-0.551300
457;-0.591476;-0.158401;-0.376999
458;-0.492584;-0.311493;-0.587234
459;-0.478531;-0.587433;-0.742874
460;-0.739258;-0.863144;-1.156021
461;-0.644012;-0.831665;-0.957779
462;-0.317688;-0.730499;-0.576370
463;-0.286942;-0.749573;-0.805695
464;-0.432953;-0.678345;-1.050781
465;-0.483093;-0.538330;-0.888260
466;-0.317703;-0.475601;-0.653305
467;-0.285233;-0.454529;-0.517746
468;-0.145630;-0.441742;-0.349976
469;-0.081863;-0.482742;-0.171097
470;-0.106415;-0.505783;-0.212509
471;-0.136337;-0.579391;-0.363876
472;-0.253983;-0.561218;-0.379456
473;-0.274200;-0.627014;-0.371201
474;-0.368820;-0.544540;-0.531723
475;-0.416962;-0.625717;-1.011795
476;-0.423279;-0.960464;-0.959488
477;-0.533157;-0.777420;-1.022141
478;-0.581406;-0.721115;-1.197662
479;-0.314804;-0.780029;-1.036804
480;-0.358871;-0.708496;-1.122955
481;-0.434891;-0.566010;-1.054153
482;-0.351227;-0.506592;-0.809204
483;-0.311752;-0.419601;-0.840683
484;-0.401962;-0.407639;-0.685577
485;-0.217529;-0.517258;-0.498306
486;-0.264709;-0.549973;-0.664078
487;-0.034195;-0.597229;-0.832672
488;0.016434;-0.563583;-0.789276
489;0.042984;-0.430756;-1.028900
490;-0.067825;-0.389297;-0.960602
491;0.001404;-0.397247;-0.961823
492;0.093903;-0.721817;-0.947250
493;-0.036163;-0.243561;-0.904694
494;0.060150;-0.464233;-0.777267
495;0.054825;-0.306229;-1.094803
496;-0.233353;-0.363449;-0.884384
497;-0.080185;-0.167206;-0.894943
498;0.051376;-0.222748;-0.981934
499;-0.055542;-0.206299;-0.804199
500;0.175659;-0.297821;-0.619904
501;0.056305;-0.348129;-0.583252
502;0.076569;-0.452927;-0.757538
503;0.001221;-0.468002;-0.770203
504;0.081192;-0.363297;-0.936356
505;0.193573;-0.485321;-0.769455
506;0.243912;-0.575470;-0.899689
507;0.067093;-0.561737;-1.018448
508;-0.107437;-0.554367;-0.986191
509;-0.107254;-0.553909;-0.991150
510;-0.054794;-0.565079;-1.006714
511;-0.105362;-0.482147;-1.085007
512;-0.104233;-0.342712;-0.970718
513;-0.027908;-0.371521;-0.882843
514;0.082458;-0.629395;-0.733337
515;-0.037781;-0.363373;-0.895920
516;-0.006577;-0.532440;-0.573349
517;-0.058838;-0.328140;-0.574753
518;0.057281;-0.582764;-0.579208
